,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10247,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem']",21000000.0,19408475.0,19408475.0,False,,1,,,,2023-06-21T20:17:00.000Z,30045.580607289176,33836378353.121746,68.0997,-0.13492653,7.54215104,17.60134424,11.86413042,8.56303965,6.4150068,583138900077.0568,49.7771,630957192753.07,,2023-06-21T20:17:00.000Z,,,,,,2023-06-21 20:19:20.765987
1,1027,Ethereum,ETH,ethereum,7026,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,120200572.43909061,120200572.43909061,True,,2,,,,2023-06-21T20:17:00.000Z,1882.8219978793334,11611250376.537792,77.7923,0.32031426,5.75594999,11.90779971,3.68318877,0.42804558,3.78141006,226316281946.00812,19.3185,226316281946.01,,2023-06-21T20:17:00.000Z,,,,,,2023-06-21 20:19:20.765987
2,825,Tether,USDT,tether,55761,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83177035118.23695,88583529362.30705,True,,3,,,,2023-06-21T20:17:00.000Z,1.0000490351792246,42020216151.20774,68.0156,0.00356658,-0.02604674,0.00679807,-0.00091836,-0.01880128,-0.14508807,83181113719.06136,7.1033,88587873071.55,,2023-06-21T20:17:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-06-21 20:19:20.765987
3,1839,BNB,BNB,bnb,1464,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token']",,155852799.0621685,155852799.0621685,False,,4,,,,2023-06-21T20:17:00.000Z,249.11229072137934,734711537.417408,71.0017,-0.09100234,2.16228322,3.46512765,-19.63916057,-24.61682898,-24.37363441,38824847789.71564,3.3121,38824847789.72,,2023-06-21T20:17:00.000Z,,,,,,2023-06-21 20:19:20.765987
4,3408,USD Coin,USDC,usd-coin,13062,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,28449838265.231236,28449838265.231236,False,,5,,,,2023-06-21T20:17:00.000Z,1.0000738116963064,6742182445.157967,62.8916,0.00396593,-0.01692648,-0.01966658,0.01782235,-0.00703642,0.06805004,28451938196.053234,2.4287,28451938196.05,,2023-06-21T20:17:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-06-21 20:19:20.765987
5,52,XRP,XRP,xrp,969,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'sec-security-token']",100000000000.0,52098630775.0,99988842772.0,False,,6,,,,2023-06-21T20:17:00.000Z,0.49913707212199054,1296767991.1452699,26.8345,0.19947923,2.09331501,2.10467022,8.2895605,6.29574132,12.45031935,26004358026.59813,2.2184,49913707212.2,,2023-06-21T20:17:00.000Z,,,,,,2023-06-21 20:19:20.765987
6,2010,Cardano,ADA,cardano,842,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token']",45000000000.0,34924992400.804,35905661251.43,False,,7,,,,2023-06-21T20:17:00.000Z,0.2863313288863718,343898252.7629101,69.2391,0.54640328,7.28356246,7.95508328,-22.34797821,-27.61775511,-23.33117748,10000119485.468647,0.8536,12884909799.89,,2023-06-21T20:17:00.000Z,,,,,,2023-06-21 20:19:20.765987
7,74,Dogecoin,DOGE,dogecoin,730,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,139862786383.70526,139862786383.70526,True,,8,,,,2023-06-21T20:17:00.000Z,0.06582085610200422,369915335.3210863,116.4397,0.11965037,5.38663166,8.99037764,-9.96668828,-17.86095148,-14.47066814,9205888336.58722,0.7861,9205888336.59,,2023-06-21T20:17:00.000Z,,,,,,2023-06-21 20:19:20.765987
8,5426,Solana,SOL,solana,475,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'sec-security-token']",,399650623.0277701,550650307.5823706,True,,9,,,,2023-06-21T20:17:00.000Z,17.14598406393132,359147454.7230869,43.1023,0.04432854,5.12051565,16.74727895,-12.89557124,-21.46582639,-22.13315593,6852403213.574369,0.5847,9441441398.61,,2023-06-21T20:17:00.000Z,,,,,,2023-06-21 20:19:20.765987
9,1958,TRON,TRX,tron,773,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'sec-security-token']",,90008736266.63327,90008758477.80579,True,,10,71659659264.0,5168611074.53225,,2023-06-21T20:17:00.000Z,0.0721272069615998,226284004.09811112,13.6851,0.30751532,2.73643393,1.11014409,-8.21421779,9.42189505,10.87884478,6492078749.055511,0.5538,6492080351.09,,2023-06-21T20:17:00.000Z,,,,,,2023-06-21 20:19:20.765987
10,2,Litecoin,LTC,litecoin,926,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,73195264.22743528,84000000.0,False,,11,,,,2023-06-21T20:17:00.000Z,85.15280181696757,825793543.313172,112.4631,-0.17963785,6.70833245,14.18547019,-6.27325835,-2.1738647,-9.02924898,6232781828.699371,0.5322,7152835352.63,,2023-06-21T20:17:00.000Z,,,,,,2023-06-21 20:19:20.765987
11,3890,Polygon,MATIC,polygon,744,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'sec-security-token']",10000000000.0,9289469069.28493,10000000000.0,False,,12,,,,2023-06-21T20:17:00.000Z,0.6640922986623004,419010022.3885261,66.6897,0.15741371,6.16108654,5.08671203,-23.701079,-35.02750724,-41.021485,6169064867.573769,0.5263,6640922986.62,,2023-06-21T20:17:00.000Z,,,,,,2023-06-21 20:19:20.765987
12,6636,Polkadot,DOT,polkadot-new,516,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1196993019.8903549,1326471897.1955347,True,,13,,,,2023-06-21T20:17:00.000Z,4.798512731107456,155924876.85942188,36.2876,-0.32642626,3.87162878,3.46880808,-9.68451106,-19.45885946,-23.82786204,5743786244.990628,0.49,6365092286.15,,2023-06-21T20:17:00.000Z,,,,,,2023-06-21 20:19:20.765987
13,11419,Toncoin,TON,toncoin,115,2021-08-26T13:40:22.000Z,['pos'],,3431892087.62,5047558528.0,True,,14,3414166606.0,4752178293.820271,,2023-06-21T20:17:00.000Z,1.3918999399352308,8060210.33831274,47.2339,0.00968197,0.16228643,-0.22094902,-24.25711883,-39.31781522,-33.29625826,4776850390.622472,0.4075,7025696411.94,,2023-06-21T20:17:00.000Z,,,,,,2023-06-21 20:19:20.765987
